"PLATFORM_TITLE_ID","REGION","MIXIMUM_VIEWING"
GYQLxAQ3qux24bwEAAAGE,ES,15516
GYh2ETwX7hMJjkAEAAACD,ES,9896
GYT4P_gKceKrCfQEAAAWP,ES,5166
GYQGEeQ8Kf4rDAAEAAAAH,ES,4164
GYXXQhg5EtMIkwwEAAAFa,ES,4131
GYWavHA0XyY6NwgEAAAFD,ES,3945
GYT_OuA4CCYrCwgEAAAAf,ES,2432
GYamAbgEfcMLCPwEAAAAZ,ES,1365
GYbsOugM6LL68wwEAAAKf,ES,1227
GYQfyjw4OC8LCawEAAABZ,ES,1150
GYPbZng0rwMMloQEAAAFz,ES,1126
GYSSGmANJr7nCZQEAAAAh,ES,1010
GYfmXnwqzokySrQEAAACl,PL,737
GYxW_HAcfnXcpuQEAAAoW,ES,732
GYg01Igd1bYfDwgEAAAAG,PL,713
GYSCVCwjPSovDwwEAAAB3,PL,694
GYyr69wwG1sLDDgEAAAHt,ES,584
GY2CC3Aq1-p_DwgEAAAAb,ES,548
GYXMPfAdl8cJneQEAAACV,ES,492
GYT-hZAASVsNttwEAAAAH,ES,421
GYyCtqgHZDqwegAEAAAGr,ES,345
GYgYoAw81GI4KtwEAAAGt,ES,340
GYyxh0QYubKgeRAEAAADl,PL,328
GYqNKZg5u2Ky1mwEAAABE,ES,326
GYbI3HAX9m4qlwgEAAAA6,PL,320
GYqhvqAAQVqXCQAEAAAAR,PL,312
GYfNbCQJrJLyCwwEAAAAZ,PL,280
GYboT8w2a9b6udwEAAAXK,ES,276
GYWpi2gu03EW6vQEAAACV,ES,276
GYaWOTAkpybeBhgEAAAAM,ES,261
GYfl4HQAsvcPCBQEAAAEz,PL,244
GY79avAWjfZfDVQEAAArt,PL,212
GY01EcA0KsZC_wwEAAAF8,PL,210
GYaWOLQi07VGAwwEAAAAH,ES,182
GY_5_FwhA_8LCwwEAABD5,ES,182
GYoN73wAAQKK1wwEAAAAC,ES,164
GYrWMyQUdDMJzmwEAAAAC,ES,147
GYW7lgwEwoMN8sAEAAABE,ES,141
GYwUz5wsV8LTCKgEAAAYM,ES,136
GYkT14w2Tio68uwEAAABm,PL,131
GYupDBgW3i8JboAEAAAEY,ES,124
GYL54GQVWWcJihAEAAAAd,ES,122
GYaZUDQ7cXcPCwwEAAABA,ES,118
GYvthPgSFva3DPwEAAAAC,ES,110
GY8FYyAAPRcPDwgEAAAqu,PL,107
GYoztxgd6_n-zwgEAAACl,ES,105
GYuMpDQRc68LCwgEAAA_L,PL,104
GYqnZLASSmkiKwwEAAACD,PL,102
GYhyiXwps05Z2wwEAAABH,ES,101
GYQFwrwUT08LDwwEAAAE7,ES,98
GYZLNlwOBoJKWWQEAAABk,ES,97
GVw1IIw7bhI2vw5gJAAA0,ES,94
GYkxA2QR02ovCwwEAAADp,PL,91
GY4oSLgFd-EG9tAEAAAOo,PL,90
GYGiRTwfS3IshwgEAAACB,ES,90
GXOQyAwwI4oDCwgEAAAAx,ES,84
GYXmzgwk1vsPDBAEAAANZ,ES,84
GYZUIag6zS7zDEAEAAAAm,ES,82
GYjRZDAeCVASGmQEAAAC7,ES,81
GYjMUBwYXT4GawwEAAAAp,ES,81
GY00Vww4usbqYkwEAAAFV,PL,79
GYUAwNQjQCkjDEwEAAAAM,PL,78
GYozxEAwuCcJglwEAAAEP,ES,75
GW6PCCAdmFcPDSgEAAAE-,PL,73
GXkV5uANbnY7CZgEAABwG,ES,72
GYmlm6geb6cI7sQEAAAAe,PL,72
GYxiBrwLyl7TCKgEAAAn2,PL,72
GYj3qFAwEYXjDZAEAAAFr,PL,71
GYKRGrgKLzDZxYQEAAABF,ES,71
GYd_ZPQOVkG6rwgEAABEa,PL,70
GYisuOQEtu8IowgEAAAAE,ES,69
GYnESbgoGshuLwgEAAABg,ES,69
GYuQlsAzRYqFemAEAAAAE,PL,68
GYk3BQQ7J3n1FnAEAAAAg,ES,66
GYsiR5wjkOsPCEAEAAAAC,PL,66
GXdcRXwaMPcPCwwEAACpu,PL,66
GYrMGpAL5HwCFmgEAAAAC,ES,65
GYYUGSwKX-hROlgEAAAAu,ES,64
GYFzcFAM3aYe8qwEAAACG,ES,64
GYfmVkgkyX8PCwwEAAAGB,PL,64
GY1yOwgP1ycPCwwEAAAAG,PL,63
GYbLEUArmLAWauQEAAADu,ES,63
GXJvhMwgOy6gjKgEAAAGv,PL,61
GYQfxWgETkWrDwgEAAAAL,ES,60
GYW2iAQLVPGqZwwEAAABB,ES,59
GY4pewwF_AsPCLwEAAAQh,ES,59
GYk3BQQ06EoDDYwEAAAGU,PL,59
GY5MhdQbuaqaHgQEAAAX5,ES,59
GY4izDAdNR6aHgQEAAAQo,PL,58
GYQFwXwXbpK60hQEAAADk,ES,58
GYrmoowhrKSnDRwEAAAAI,PL,58
GYyxm3AvqZLcxtgEAAABs,PL,58
GXYT0RwJn56nCVgEAAAhs,PL,58
GYz1IqATbfDzDwgEAAABg,ES,57
GYisubATKQQi5wgEAAACQ,ES,57
GYozs_QVRZpHDwwEAAAAC,ES,56
GYvrmDA0AJq3CwwEAAAPL,PL,56
GYGiRTwkOtIeDOwEAAACh,ES,54
GXgYwlQUvuzzCHAEAAAot,ES,53
GWGwmDgdn07RbwwEAAAB1,ES,53
GXuPsHAKYQ8PCwgEAAA6u,ES,53
GYGVHLA4MtL3CwgEAAAAk,ES,52
GYQFrhA6uQ57CwgEAAAAa,ES,51
GY2D8JQUuTZ_DwgEAAAAk,PL,51
GX_TO3QTk7sM6gQEAAAA5,ES,51
GXqMXXgqrhsLDwgEAAABE,ES,50
GYQFwcwmwy8LDwwEAAAEZ,ES,50
GYXQi7gVt8I5kbgEAAADS,ES,49
GY3TIuQpqV8PDwgEAAAAe,PL,48
GYtbL_ggfHcLCwgEAAAq7,ES,48
GYpE7JwWcScM_TgEAAAAC,PL,48
GYW2kBQofDbG_iAEAAAAQ,ES,48
GYEZmpgnTi7CgYgEAAAAV,ES,47
GYN8IRgStiKcnrwEAAAJR,ES,46
GYVHVegSNP5DCHwEAAAB3,ES,46
GYsiSLQP853mangEAAAXi,PL,46
GYwOKVwsws63CwwEAAAWC,PL,45
GYQFwcwbHpbaTRAEAAAD0,ES,45
GYgYggQaBV4iGwgEAAAAF,PL,44
GYrHiNgKYu02wngEAAAAE,PL,44
GWg0RBAGnVXSEpAEAAADZ,ES,44
GYvroKQFdvMJboAEAAAPT,PL,44
GYzbPQgfhvHLCwgEAAAB_,PL,44
GYF5Q0gNIKX0dwwEAAAB9,PL,44
GYeDfDgyVdwPCwgEAABep,ES,43
GYyr7Mwu78K1SwwEAAABz,ES,43
GY3Oz8AjYbm6ylwEAAACC,PL,43
GXx-AZgFKkkxbcwEAAAIy,ES,42
GYUM6xA7RxcLDwgEAAABo,PL,42
GYozxOgIQEX-zwgEAAAD9,ES,42
GYrGEcAmTLgCdrAEAAAHF,PL,42
GXXAfqwKrmqnCVgEAAAFa,ES,42
GYUGJRgCrn6WxpAEAAACN,ES,42
GY4izegD_yKaHgQEAAAQq,PL,42
GYhbuqwvvtYvCwgEAAAC7,ES,42
GY2JV5QM5DcIzkwEAAAAE,ES,41
GYUQtwgsdyyTDwwEAAAKR,ES,41
GYTG0RQ4x8bxingEAAAEC,ES,40
GYbdG6AFKonkergEAAAHN,PL,40
GYp65cAU5uroDwwEAAAB2,PL,40
GXrQVCAz524ayhAEAAAA-,ES,40
GYk3DTgDNUa2OoAEAAAAS,PL,40
GYXAbrwLa6cPDOQEAAARn,ES,40
GYgHdogRVmsJifQEAAAFW,PL,39
GYwSeEgaOT3cpuQEAAAYV,PL,39
GYyr5twVjKqgeRAEAAAA_,ES,39
GYz7GOAlMgD6rkwEAAAAC,ES,39
GYk3I9gT8wrfCWgEAAANM,ES,38
GY3bxygTa86-1mgEAAABB,ES,38
GYpWC8QltDsPDRwEAAAAE,ES,38
GYSUvMg6CGaN4nwEAAAAS,ES,38
GY5NUnAdchK-1mgEAAAVB,ES,38
GYUlr6AtfmGpMDwEAAAB6,PL,38
GYjRYbAU6jIuhCwEAAACl,ES,38
GYXEJCgtMlruGtQEAAAMX,ES,38
GX_SNSwcTX5YotgEAAAA1,PL,38
GYkHM7QaDE8LCwgEAAAAU,PL,37
GYnVFpwOFt5uQwgEAAAAC,ES,37
GYrld1wBP38LCUgEAAAAC,ES,37
GXt50aAsJMMPCwgEAAAk_,PL,37
GY01bZA32T5C_wwEAAAGB,PL,37
GYlZp7wktxY7CwwEAAAAn,ES,37
GY0bEgwBsNLqYkwEAAAAN,PL,37
GYUQt_wNnVRm_igEAAAG9,ES,37
GYysYogzOUsM7YwEAAAGs,PL,36
GYetqowbLX8J4fwEAAAAT,ES,36
GYXOfDwS_KzLDwwEAAADo,ES,36
GYj3pzQvziHjDZAEAAAFl,PL,36
GWSMCnAuFop-ogAEAAACH,PL,36
GYh-YLwFoRLRrHQEAAAAS,PL,36
GY2jiLQFZjkthwgEAAAEp,PL,36
GYywt7A2FjKgeRAEAAACV,PL,36
GYk5g4g4KcZ9nqAEAAAF-,PL,35
GYo43IwCty7jDwwEAAAAC,ES,35
GYF43_Q8XzQaavQEAAAD3,ES,35
GYgHXgAdfNCHDwgEAAAEZ,PL,35
GYmnfmwFtZsLCwgEAAAAF,PL,34
GYyvGhgiWdqrDwwEAAADJ,ES,34
GY2jPIwtW54HDwwEAAABq,PL,34
GYkQ4rQ44pBOOpgEAAAAC,PL,34
GY78Z9woyC4ZvhgEAAAAC,PL,33
GYk2lOAcHoIanqwEAAAAJ,PL,32
GYPH_IAJTJKaVTAEAAABy,ES,32
GYdLD9gGAvwKgsgEAAAKl,PL,32
GWPUl1whBcrCtkwEAAAAz,ES,32
GY3TBxQAvvMNaigEAAAAM,PL,31
GYcS3cgra04QOtgEAAACq,ES,31
GY9AEnQUKmsPCLwEAAA0P,PL,31
GYVSDCwdZ0U3DwwEAAAAC,PL,31
GYQbTcwlYU5Y_wgEAAAAH,ES,31
GYyst8Q3wx61SwwEAAACW,PL,31
GYsiSkQlSZsPCEAEAAAAJ,PL,31
GYtbMqAMAfkqupQEAAAiP,ES,31
GYbyC7AgcnhtpugEAAAAG,ES,31
GYSmI3wAoJrvDOAEAAAAC,ES,31
GY-MGkwKGMaaHgQEAAA9Q,ES,31
GY34tcAbpP5fDVQEAAAIG,CO,31
GYQbOywd7_L3CQwEAAAAC,ES,30
GY1FoBggSNW4mgAEAAABs,PL,30
GYvousASIbcJboAEAAANb,ES,30
GYfmK3Qh5B76mwgEAAAHk,PL,30
GYW2kcgx33bG_iAEAAAAY,ES,30
GY8FYmwYrSwnCZwEAAAuT,PL,30
GYxEOkA8AZHcpuQEAAAmR,PL,30
GYgHcLglAjUnCXgEAAAFP,PL,30
GY1o7NQ2v85OXuwEAAAA2,PL,30
GZD02_gZMsGO1vAEAAAAG,PL,30
GYkRnSgvqtICywwEAAAAC,ES,30
GYgHfKAjkPZIXkQEAAAFV,PL,30
GYo2FVwYiIsNqlwEAAABq,PL,29
GYRr9Rwt414jDwgEAAAJ3,PL,29
GYk2eRQHGfZrDwgEAAAAF,ES,29
GYQFuLQ2jHLg5RQEAAABK,ES,29
GYgHaDA8BEXbDwwEAAAE0,PL,29
GWGwmGAoKaKmywwEAAAB1,ES,28
GYXEKfQN7LqDDSwEAAARe,ES,28
GYg_W-waaNpVyjAEAAADM,PL,28
GYGc9iAbsCMPCFAEAAAAX,AR,28
GYULZyQcHqQDDwwEAAAFO,ES,28
GYVa4LAWyN47DOwEAAAAi,ES,28
GYXD4tQCvOsI_wwEAAAB9,ES,27
GYuQmUAgX0MPCwgEAAAAC,PL,27
GY01JwguK_pSYugEAAAFf,PL,27
GYuAQ3QBIYcNewgEAAA0a,ES,27
GY-MHKQlvtsLCwgEAAA5U,ES,27
GYuQlfgL6HcLCSAEAAAAE,PL,27
GYkR6gQAP5LSLFAEAAAAE,ES,27
GYfl3rwRyPsPCBQEAAAEl,PL,26
GYTG1SgHCosPCVgEAAAFv,ES,26
GY2EKBQOdrZifAAEAAAAM,PL,26
GYx8Ahg3xWqfDXwEAAAA5,PL,26
GYSUxoAC8ZW1AigEAAADl,PL,25
GV1nk6AmAsng4swEAAAAZ,PL,25
GYKLPjwnWHJ3CwgEAAAAf,BR,24
GYSUu2AoIPE1etQEAAACl,ES,24
GYpUGOQuc6sLDBgEAAABG,PL,24
GYsiSzgU6eoCNeQEAAAAN,PL,24
GZG0qsgEDoQnCZwEAABn1,PL,24
GYuARBQOHdMNewgEAAA0e,ES,24
GYz1KfgIrNTzDwgEAAABi,PL,24
GYmkDJAo1eCRsnQEAAAAD,PL,24
GY1vN-we02MLCXQEAAAAN,ES,24
GYqw7bAi6f8JtqQEAAAC8,PL,24
GV1rOuwCSAsLDwwEAAADX,PL,24
GY2kfZwgAhjrCwwEAAAFm,ES,24
GYozu6gNUhE6lwgEAAAEL,ES,24
GY6ApngKxnsPCLwEAAAd5,PL,23
GYQfxQwkULQzDwwEAAAAP,PL,23
GYwh3Wg0yDcM0mwEAAAAC,ES,23
GYkSe-A6AiLDCwgEAAAAE,ES,23
GYcWRtgvtDKO8kwEAAAEx,PL,23
GYgHYewbnWsNvkAEAAAE3,PL,23
GYfl4CA1M5MPCBQEAAAEw,PL,23
GXnjwhQGzzYCgwwEAAAdt,PL,23
GXJvJSwtuyKgjKgEAAADq,ES,23
GYIjjNApnCLK9wgEAAAPB,ES,23
GYRGg1AWUkZS1QwEAAAAz,ES,23
GYgHdZQl08pi9rgEAAAFr,PL,23
GYzZLoQqnSXLCwgEAAABc,PL,23
GYxpA5AFVF3cpuQEAAAu9,PL,23
GYcVqdQQ197yMjAEAAAEl,PL,23
GZEj5LwyMupOmPwEAAAh5,PL,23
GYQFwfQW3tcLCwwEAAAD-,ES,23
GYgHbogYzMMIebgEAAAF1,PL,22
GYmZuUQ4SnQCfugEAAAAD,PL,22
GYqCiuQxqlHHDWgEAAAE7,PL,22
GY3TCFQAgd8LCwwEAAACC,PL,22
GY8FYNQLpksLCwwEAAAuA,PL,22
GYqce3AdnHQKwwgEAAAAU,PL,22
GYpWB4whkUMMuiwEAAABW,PL,22
GY3O3-ADgIxrCwwEAAAAu,PL,22
GYSmJfg9AK6PCwwEAAACf,ES,22
GYQFupgI0za60hQEAAACZ,ES,22
GYGJQvgJNd4d9lwEAAAAC,ES,22
GYfl4TwS1DL6mwgEAAAEK,PL,22
GYVLQvAYAMa7CcgEAAACT,PL,21
GYqcyXQ6uFgKwwgEAAAAc,PL,21
GY9jhOwG60JfDVQEAAA3e,PL,21
GYpWCWwj1CsPDRwEAAAAC,PL,21
GYhzMhQdyrqGZqgEAAABH,ES,21
GYuQliAR63ZBEwwEAAAAF,PL,21
GYgHdAQHDn8IebgEAAAF8,PL,21
GYd41uAzZVbeZGAEAAAeC,PL,21
GYnEBIwIca75jnwEAAAAC,ES,21
GYkO_sgCZtYQWmQEAAAAt,PL,21
GYEZqfAPIKrmmigEAAAAQ,ES,21
GZDktgQDnJ8PCLwEAABVz,PL,21
GYyxijwe2pIyqwwEAAAAC,PL,21
GYkQjDwCJSLm5sQEAAAAK,ES,20
GY48-yQNbscPCLwEAAATE,PL,20
GYed5_wq_i8PDwwEAAAA6,ES,20
GY8akxwISucPCLwEAAAuq,PL,20
GY1fTeABSNMNtgwEAAAFl,ES,20
GYaWOTAiNSLeBhgEAAAAL,PL,20
GYXOfDwU03bWZswEAAAC5,ES,20
GY3uUVQS5F6-1mgEAAACI,ES,19
GYwlKngk-vsJboAEAAAdL,PL,19
GYk1qNgPan1uowgEAAACf,PL,19
GYZLMdA3xCWq_oAEAAABb,ES,19
GYvrmZgzbEREHXQEAAAOf,PL,19
GYrArcwpC174cgQEAAAAC,PL,19
GXdcZSAKtkcPCwwEAACri,PL,19
GYjhRjgu7Bpd-nAEAAAAC,ES,19
GYxgBtgMHjViCmwEAAAr1,PL,19
GYVLQ0QXTjMLCwgEAAABk,ES,18
GXgYwfAA1jpWdkQEAAAnR,PL,18
GYhA2Vg3tpSyjDQEAAACp,PL,18
GWZsaNAFft6KDKwEAAABm,ES,18
GYsiTEwwrO8LCwwEAAAAM,PL,18
GYg_XLwSsenSvnAEAAADL,PL,18
GYUQuHA8al8IWiQEAAAA7,ES,17
GYjscfwGDmr2KvAEAAAAC,PL,17
GYfHxLQVYyMLCwwEAAAEL,PL,17
GY4pemg5kFJSgigEAAAQ7,PL,17
GYuJGrwOB0Z2PkQEAAAAC,ES,17
GYpWGEgChwpu5sQEAAAAH,ES,17
GYxnN8QG_QETDwwEAAApQ,PL,17
GYpY0MgOsdsLDwwEAAABf,PL,17
GYfxGWwwFjRnCwwEAAAAM,PL,17
GYg_XWABcOhdlpAEAAAC2,PL,17
GYuFPdgNafsNewgEAAA2J,ES,16
GY-7kLAPfQk6aKQEAAAI_,PL,16
GYo0JHw01zcNqlwEAAAAV,CO,16
GYQFrPgyhLluQwwEAAAAu,ES,16
GZGuxjgcXpbDCLQEAAAsP,PL,16
GYFuEUg2QXXc4uAEAAAAm,PL,16
GYmkbxQTGObTDRgEAAACM,PL,16
GYk1spQYeWbfCWgEAAACD,PL,16
GYfm17w4L1zO-wwEAAAEF,ES,16
GYrGLoQPdwkqSLgEAAADA,PL,16
GXiocuApMjB3DwgEAAAGs,PL,16
GYmkA9AyVTKnCewEAAAAC,PL,16
GYpZXyACvEoPDOgEAAACD,CO,16
GYvrlgAjQaJa8kAEAAANT,PL,16
GY-uVXwr81JOmPwEAAAHN,PL,16
GYme25A02a5PDGAEAAAAC,PL,16
GY-JiqQFeZJSgigEAAA63,PL,16
GYfmXgQQYxD2HMwEAAAHX,PL,15
GYQFrwA2bVcPDwgEAAAAc,ES,15
GYzP3PwLNG8ISwwEAAADa,PL,15
GY01FJQIAJJSYugEAAAFa,PL,15
GYQk67Qv5w8NsmgEAAAIP,ES,15
GYmlmWwyd6Y7DAgEAAAEF,ES,15
GYWkPxwyzsjfCFgEAAAAh,ES,15
GXa4BkATwmgKBsQEAAABJ,PL,15
GY2D8kwwjKcLCwwEAAABr,PL,15
GYmngvQbhFIvCIwEAAAAC,PL,15
GYpWFhgX3rp7CAgEAAAAC,ES,15
GYyr6kwsfWJ6fiQEAAAFO,ES,15
GYk2UsgM3K5SWtwEAAAAR,PL,15
GWW-7mwfeoX8qmAEAAACO,PL,15
GYlXkEgf4065owwEAAACZ,ES,15
GYg_XTQnS3je5aAEAAAAD,PL,15
GYZLDtgXEkpfDwgEAAABS,ES,15
GYilgpAcPHKyPlwEAAAJv,PL,15
GYmNHwALrMzMgwgEAAAAt,PL,14
GYU5yzgXQcMNJtwEAAADN,PL,14
GYjIAeA6ampuqwwEAAAC0,ES,14
GYunciQp7PsJboAEAAAES,PL,14
GYRGgSAJtf63CQgEAAAA4,ES,14
GYzPsFglAqcISwwEAAADX,PL,14
GYRdYdAnAUm_DUgEAAAAF,PL,14
GY_OM2ggut8PCLwEAABAn,PL,14
GYhzMkQURxLyxKwEAAAGD,ES,14
GY00Sewnn6pC_wwEAAAFc,PL,14
GYwlJpAdUHrmlsQEAAAAC,PL,14
GYg_gqApAQje5aAEAAABA,PL,14
GYQFt8Q0h7oXCwgEAAABD,ES,14
GYoDJYQE2UL-QwwEAAAAC,CO,14
GYfmIbQfqh8PCwwEAAACp,PL,13
GYtUdPQ8QYcNewgEAAAjW,ES,13
GYyr69w3HgsLCwwEAAAF5,ES,13
GYSmK-w1yAMLCwwEAAAC2,ES,13
GYhzMlQbj9JWzZgEAAAGJ,ES,13
GXrHuSAvp-sPCwwEAAACI,ES,13
GY_dIxQ31ArGYsAEAAAJ2,PL,13
GYQhbPAbiepO1ZQEAAABe,ES,13
GYxINaAypVp-cMgEAAAAK,ES,13
GYzPyQwSi8bKBwwEAAAAC,PL,13
GY1Kwywr4lbmhMgEAAAE0,ES,13
GYicu-QzYs5mGSwEAAAFc,ES,13
GYfm1MQtdoj2HMwEAAAPO,PL,13
GYg_QuAxT9paOwwEAAAA6,PL,13
GY3TJ2wyIoZSgigEAAACL,PL,13
GYs9_3guCenmangEAAAjS,PL,12
GYyst3Q21NKgeRAEAAABW,PL,12
GYvpeqgmZkcJboAEAAAOd,PL,12
GYtbMlAlmusNewgEAAAmi,ES,12
GYhPmTgskRkWIlgEAAAHn,PL,12
GY9jgwwb83ZOmPwEAAAA7,PL,12
GYvou4gcRQ7V9vwEAAAAD,ES,12
GY9uosgPRQHSfmgEAAACE,PL,12
GYU61Cgn0v46lwgEAAADS,PL,12
GYigtegYqAStLUQEAAAHN,PL,12
GYecTOAuuRAPCwgEAAB0B,CO,12
GXbHqNAOcBJGYoAEAAAau,PL,12
GYigtSAZhhJHDVgEAAAG7,PL,12
GY_Oj9wHNFJOmPwEAAAJi,ES,12
GYEbClQX_H8IhKgEAAAAp,PL,12
GY_Y_MgbBxLDCLQEAAAKB,PL,12
GYebclgIj-MMHwgEAAAN_,ES,12
GYywxFwtidbcxtgEAAAAm,PL,12
GYk3G4AsRpMPCAAEAAAAH,PL,12
GZBjF8gQVWpfDVQEAABKI,ES,12
GYqb4Pg3DuWalwgEAAAAF,PL,12
GXtk_SAmm38PCwgEAAATl,PL,12
GYk1s_wxHqluowgEAAACy,PL,11
GV7tyCwdtM8MbwgEAAAAi,ES,11
GYuE5JAKryb-dDAEAAAAC,ES,11
GYqCiXg2dILxVCgEAAAFC,ES,11
GYl6QAQ7Xe8LCOQEAAAAE,BR,11
GYwlJGAcNTFiCmwEAAAf-,PL,11
GYfl4YwhpecPCBQEAAAFF,PL,11
GYfmEZgFlGp-aTQEAAAAz,PL,11
GY_ON6AojcLDCLQEAAAJr,PL,11
GY2CC-gvv94GgwgEAAAAR,ES,11
GYpY0HgErY4PDOgEAAABn,PL,11
GYzy3aw6AWMIxPQEAAAAH,US,10
GY3S_dgOXiqXCSAEAAAAF,PL,10
GYvrnJQG7RBEHXQEAAAOh,PL,10
GY-N2bwlso6KZwgEAAAE5,PL,10
GYyr9ZAKIycIEGgEAAAAl,PL,10
GYpYccwF4r4uElgEAAAAD,ES,10
GYywuMgxVmrcxtgEAAAAT,PL,10
GZDlOLg8nX7iWtQEAAAc2,PL,10
GYwlPTwUihgXCwgEAAAhB,PL,10
GYfm1nwkSS8LCNgEAAARI,PL,10
GYwi04wO7ya3CwwEAAAcQ,PL,10
GY-JjjwEeE6KZwgEAAAEs,PL,10
GY9jhswRcFcPDwgEAAA0_,PL,10
GYfmW9AoelT2HMwEAAAHC,PL,10
GYk5S1wfPLZd7sgEAAAAH,PL,10
GYtUdXAJbIEqupQEAAAe2,ES,10
GY8FX4gva0cPDwgEAAAqm,PL,10
GYvrmrQFbGxbDwwEAAAPI,PL,10
GYo2FGg4Yj8J8wwEAAAAC,PL,10
GWguRHAzcL7C5iAEAAAIB,ES,10
GY2D71QcUqbYCjAEAAAAf,PL,10
GYk1tJwuAJFuowgEAAACz,PL,10
GYf3shQ1eAZF2wgEAAAK5,PL,10
GZD03MQVzrMPCwwEAAAAH,PL,10
GYigtjgf2dJxjUAEAAAHO,PL,10
GYmkJ_AfQyI7DAgEAAACV,PL,10
GYx8ADg1RjqSocwEAAAAz,PL,10
GY78W9A1bOMLCwwEAAAsq,PL,10
GYfmKUAu03ZqXXAEAAAAN,PL,10
GY-T1ngVvDJSgigEAAA7m,PL,10
GYSmKqwevF6rDwgEAAAAP,ES,9
GY1vQkQ8hacLCwwEAAAAR,ES,9
